stationid,neighborhood,borough,zipcode,station_name,latitude,longitude,count
334,Manhattan Community Board 4,Manhattan,10011,W 20 St & 7 Ave,40.74238787,-73.99726235,213
236,Manhattan Community Board 3,Manhattan,10003,St Marks Pl & 2 Ave,40.7284186,-73.98713956,230
513,Manhattan Community Board 4,Manhattan,10019,W 56 St & 10 Ave,40.768254,-73.988639,114
441,Manhattan Community Board 6,Manhattan,10022,E 52 St & 2 Ave,40.756014,-73.967416,104
476,Manhattan Community Board 6,Manhattan,10016,E 31 St & 3 Ave,40.74394314,-73.97966069,252
432,Manhattan Community Board 3,Manhattan,10009,E 7 St & Avenue A,40.72621788,-73.98379855,180
317,Alphabet City,Manhattan,10009,E 6 St & Avenue B,40.72453734,-73.98185424,174
212,Manhattan Community Board 4,Manhattan,10011,W 16 St & The High Line,40.74334935,-74.00681753,189
422,Clinton,Manhattan,10069,W 59 St & 10 Ave,40.770513,-73.988038,155
342,Lower East Side,Manhattan,10002,Columbia St & Rivington St,40.71739973,-73.98016555,60
512,Manhattan Community Board 4,Manhattan,10001,W 29 St & 9 Ave,40.7500727,-73.99839279,153
460,,Brooklyn,11211,S 4 St & Wythe Ave,40.71285887,-73.96590294,54
2022,Roosevelt Island,Manhattan,10022,E 59 St & Sutton Pl,40.75849116,-73.95920622,111
152,Manhattan Community Board 1,Manhattan,10007,Warren St & Church St,40.71473993,-74.00910627,146
284,Manhattan Community Board 2,Manhattan,10014,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,371
440,Manhattan Community Board 6,Manhattan,10017,E 45 St & 3 Ave,40.75255434,-73.97282625,124
296,Manhattan Community Board 3,Manhattan,10002,Division St & Bowery,40.71413089,-73.9970468,122
514,Hudson Yards,Manhattan,10199,12 Ave & W 40 St,40.76087502,-74.00277668,259
459,Manhattan Community Board 4,Manhattan,10011,W 20 St & 11 Ave,40.746745,-74.007756,525
301,Alphabet City,Manhattan,10009,E 2 St & Avenue B,40.72217444,-73.98368779,187
252,Washington Square Village,Manhattan,10014,MacDougal St & Washington Sq,40.73226398,-73.99852205,152
430,Dumbo,Brooklyn,11251,York St & Jay St,40.7014851,-73.98656928,111
379,Chelsea,Manhattan,10001,W 31 St & 7 Ave,40.749156,-73.9916,192
435,Manhattan Community Board 4,Manhattan,10011,W 21 St & 6 Ave,40.74173969,-73.99415556,408
357,Washington Square Village,Manhattan,10003,E 11 St & Broadway,40.73261787,-73.99158043,120
389,,Brooklyn,11207,Broadway & Berry St,40.71044554,-73.96525063,36
167,Manhattan Community Board 6,Manhattan,10016,E 39 St & 3 Ave,40.7489006,-73.97604882,172
274,,Brooklyn,11221,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,51
2000,Dumbo,Brooklyn,11201,Front St & Washington St,40.70255088,-73.98940236,109
449,Clinton,Manhattan,10019,W 52 St & 9 Ave,40.76461837,-73.98789473,109
388,Manhattan Community Board 4,Manhattan,10001,W 26 St & 10 Ave,40.749717753,-74.002950346,288
426,Manhattan Community Board 1,Manhattan,10282,West St & Chambers St,40.71754834,-74.01322069,470
501,Murray Hill,Manhattan,10016,FDR Drive & E 35 St,40.744219,-73.97121214,130
477,Manhattan Community Board 5,Manhattan,10036,W 41 St & 8 Ave,40.75640548,-73.9900262,262
346,Manhattan Community Board 2,Manhattan,10014,Bank St & Hudson St,40.73652889,-74.00618026,201
518,Manhattan Community Board 6,Manhattan,10016,E 39 St & 2 Ave,40.74780373,-73.9734419,277
2017,Turtle Bay,Manhattan,10017,E 43 St & 2 Ave,40.75022392,-73.97121414,94
326,Manhattan Community Board 3,Manhattan,10009,E 11 St & 1 Ave,40.72953837,-73.98426726,239
519,Manhattan Community Board 5,Manhattan,10037,Pershing Square N,40.75188406,-73.97770164,348
507,Manhattan Community Board 6,Manhattan,10010,E 25 St & 2 Ave,40.73912601,-73.97973776,252
510,Manhattan Community Board 5,Manhattan,10111,W 51 St & 6 Ave,40.7606597,-73.98042047,192
306,Manhattan Community Board 1,Manhattan,10038,Cliff St & Fulton St,40.70823502,-74.00530063,176
332,Lower East Side,Manhattan,10002,Cherry St,40.71219906,-73.97948148,83
247,Manhattan Community Board 2,Manhattan,10014,Perry St & Bleecker St,40.73535398,-74.00483091,156
324,,Brooklyn,11221,DeKalb Ave & Hudson Ave,40.689888,-73.981013,94
403,Manhattan Community Board 3,Manhattan,10012,E 2 St & 2 Ave,40.72502876,-73.99069656,131
524,,Manhattan,,W 43 St & 6 Ave,40.75527307,-73.98316936,207
276,Manhattan Community Board 1,Manhattan,10013,Duane St & Greenwich St,40.71748752,-74.0104554,111
453,Manhattan Community Board 4,Manhattan,10011,W 22 St & 8 Ave,40.74475148,-73.99915362,220
325,Manhattan Community Board 6,Manhattan,10003,E 19 St & 3 Ave,40.73624527,-73.98473765,187
443,,Brooklyn,11249,Bedford Ave & S 9th St,40.70853074,-73.96408963,19
335,Washington Square Village,Manhattan,10011,Washington Pl & Broadway,40.72903917,-73.99404649,204
195,Manhattan Community Board 1,Manhattan,10005,Liberty St & Broadway,40.70905623,-74.01043382,153
368,University Village,Manhattan,10014,Carmine St & 6 Ave,40.73038599,-74.00214988,349
418,Dumbo,Brooklyn,11251,Front St & Gold St,40.70224,-73.982578,49
444,Manhattan Community Board 5,Manhattan,10019,Broadway & W 24 St,40.7423543,-73.98915076,353
349,Lower East Side,Manhattan,10002,Rivington St & Ridge St,40.71850211,-73.98329859,76
128,University Village,Manhattan,10012,MacDougal St & Prince St,40.72710258,-74.00297088,274
470,Manhattan Community Board 4,Manhattan,10011,W 20 St & 8 Ave,40.74345335,-74.00004031,185
313,Clinton Hill,Brooklyn,11205,Washington Ave & Park Ave,40.69610226,-73.96751037,34
402,Manhattan Community Board 5,Manhattan,10010,Broadway & E 22 St,40.7403432,-73.98955109,308
495,Clinton,Manhattan,10036,W 47 St & 10 Ave,40.76269882,-73.99301222,156
233,,Brooklyn,11207,Joralemon St & Adams St,40.69246277,-73.98963911,99
281,Manhattan Community Board 5,Manhattan,10153,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,265
369,Greenwich Village,Manhattan,10011,Washington Pl & 6 Ave,40.73224119,-74.00026394,142
503,Manhattan Community Board 5,Manhattan,10003,E 20 St & Park Ave,40.73827428,-73.98751968,82
316,Manhattan Community Board 1,Manhattan,10038,Fulton St & William St,40.70955958,-74.00653609,122
151,Manhattan Community Board 2,Manhattan,10012,Cleveland Pl & Spring St,40.7218158,-73.99720307,323
433,Alphabet City,Manhattan,10009,E 13 St & Avenue A,40.72955361,-73.98057249,212
