,start_hour,age,trip_minutes,clusters
0,18,46.0,16,3
1,18,31.0,9,1
2,19,25.0,6,1
3,11,26.0,9,2
4,18,36.0,38,0
5,22,28.0,7,1
6,13,20.0,10,2
7,10,45.0,4,2
8,12,21.0,11,2
9,16,31.0,9,1
10,20,36.0,21,1
11,23,29.0,20,1
12,2,35.0,16,2
13,9,47.0,17,3
14,15,33.0,13,1
15,18,55.0,2,3
16,6,38.0,21,2
17,18,36.0,29,0
18,7,25.0,11,2
19,17,29.0,13,1
20,1,38.0,13,2
21,7,40.0,10,2
22,20,36.0,7,1
23,14,43.0,10,3
24,18,33.0,20,1
25,9,48.0,3,3
26,16,36.0,7,1
27,8,27.0,5,2
28,8,49.0,4,3
29,19,29.0,2,1
30,10,63.0,18,3
31,16,60.0,34,0
32,17,45.0,15,3
33,12,25.0,10,2
34,23,31.0,9,1
35,14,26.0,30,0
36,8,54.0,8,3
37,21,45.0,9,1
38,9,30.0,5,2
39,21,25.0,25,0
40,19,49.0,30,0
41,18,29.0,7,1
42,19,59.0,29,3
43,11,38.0,15,2
44,17,26.0,3,1
45,22,47.0,15,1
46,22,36.0,16,1
47,7,56.0,6,3
48,14,48.0,7,3
49,11,39.0,17,2
50,7,27.0,22,2
51,20,30.0,3,1
52,18,36.0,44,0
53,8,28.0,13,2
54,19,26.0,15,1
55,18,33.0,9,1
56,8,61.0,28,3
57,12,38.0,14,2
58,11,36.0,3,2
59,18,39.0,13,1
60,13,26.0,10,2
61,16,25.0,14,1
62,14,36.0,10,1
63,17,35.0,37,0
64,20,34.0,14,1
65,15,41.0,15,1
66,7,30.0,9,2
67,13,36.0,27,0
68,10,57.0,6,3
69,11,44.0,11,3
70,19,36.0,23,0
71,11,37.0,4,2
72,0,27.0,5,2
73,17,34.0,9,1
74,6,53.0,11,3
75,18,29.0,2,1
76,22,34.0,4,1
77,12,49.0,6,3
78,17,32.0,6,1
79,19,52.0,5,3
80,17,36.0,15,1
81,19,28.0,16,1
82,16,36.0,24,0
83,13,30.0,2,2
84,8,39.0,12,2
85,18,36.0,18,1
86,18,28.0,14,1
87,12,36.0,27,0
88,8,26.0,7,2
89,23,39.0,20,1
90,21,27.0,17,1
91,15,55.0,5,3
92,17,64.0,3,3
93,11,60.0,6,3
94,18,40.0,31,0
95,8,35.0,6,2
96,13,39.0,10,2
97,20,44.0,7,1
98,16,27.0,10,1
99,18,49.0,20,3
100,23,47.0,11,1
101,8,33.0,17,2
102,19,26.0,27,0
103,18,33.0,15,1
104,14,29.0,9,1
105,9,58.0,6,3
106,16,38.0,10,1
107,7,23.0,12,2
108,17,26.0,11,1
109,16,38.0,11,1
110,11,36.0,19,2
111,14,50.0,8,3
112,10,35.0,6,2
113,15,32.0,8,1
114,8,50.0,11,3
115,16,33.0,16,1
116,21,38.0,2,1
117,19,36.0,32,0
118,8,53.0,22,3
119,16,40.0,3,1
120,18,36.0,44,0
121,18,21.0,6,1
122,12,28.0,7,2
123,20,37.0,13,1
124,7,34.0,15,2
125,12,52.0,18,3
126,8,26.0,24,2
127,21,36.0,21,1
128,16,38.0,19,1
129,14,68.0,2,3
130,20,30.0,16,1
131,7,33.0,11,2
132,16,36.0,20,0
133,17,57.0,10,3
134,18,35.0,31,0
135,15,36.0,30,0
136,15,21.0,11,1
137,16,36.0,30,0
138,16,53.0,4,3
139,7,32.0,2,2
140,19,31.0,6,1
141,17,36.0,27,0
142,21,30.0,10,1
143,15,36.0,44,0
144,12,38.0,15,2
145,12,34.0,4,2
146,21,47.0,11,1
147,19,32.0,9,1
148,19,36.0,25,0
149,22,34.0,22,1
150,21,60.0,11,3
151,13,30.0,8,2
152,15,36.0,14,1
153,12,36.0,16,2
154,19,32.0,6,1
155,9,35.0,23,2
156,17,67.0,11,3
157,1,41.0,11,2
158,7,36.0,32,0
159,8,40.0,8,2
160,10,45.0,8,2
161,19,59.0,16,3
162,8,39.0,12,2
163,18,51.0,8,3
164,13,62.0,23,3
165,23,22.0,6,1
166,17,38.0,12,1
167,18,27.0,10,1
168,9,52.0,31,0
169,18,48.0,13,3
170,12,34.0,12,2
171,11,34.0,10,2
172,18,56.0,8,3
173,13,38.0,9,2
174,7,29.0,11,2
175,19,30.0,8,1
176,17,33.0,4,1
177,17,40.0,7,1
178,18,36.0,10,1
179,7,31.0,12,2
180,16,36.0,9,1
181,14,33.0,26,0
182,16,36.0,10,1
183,21,36.0,14,1
184,11,29.0,27,0
185,13,48.0,5,3
186,8,40.0,13,2
187,9,29.0,14,2
188,12,24.0,18,2
189,8,49.0,14,3
190,18,36.0,6,1
191,11,45.0,26,0
192,18,59.0,10,3
193,18,29.0,12,1
194,9,47.0,18,3
195,11,40.0,4,2
196,0,63.0,7,3
197,11,45.0,14,3
198,8,46.0,7,2
199,18,44.0,10,1
200,18,36.0,34,0
201,12,52.0,10,3
202,11,47.0,5,3
203,19,26.0,9,1
204,10,42.0,8,2
205,12,30.0,6,2
206,16,39.0,8,1
207,16,36.0,43,0
208,14,54.0,34,0
209,6,36.0,8,2
210,19,51.0,3,3
211,18,33.0,23,0
212,10,57.0,35,0
213,14,33.0,22,0
214,18,36.0,19,1
215,21,29.0,12,1
216,19,49.0,3,3
217,16,36.0,19,1
218,16,36.0,12,1
219,19,36.0,9,1
220,17,34.0,4,1
221,17,31.0,8,1
222,10,22.0,9,2
223,8,28.0,7,2
224,17,35.0,1,1
225,8,23.0,16,2
226,15,36.0,4,1
227,7,44.0,6,2
228,10,38.0,18,2
229,17,37.0,27,0
230,1,36.0,16,2
231,17,51.0,37,0
232,19,46.0,5,1
233,13,36.0,22,0
234,12,40.0,6,2
235,9,36.0,5,2
236,9,34.0,19,2
237,12,52.0,10,3
238,15,52.0,5,3
239,12,36.0,44,0
240,20,49.0,2,3
241,23,31.0,3,1
242,12,51.0,9,3
243,22,36.0,7,1
244,3,24.0,44,0
245,0,38.0,3,2
246,14,36.0,24,0
247,17,36.0,6,1
248,15,32.0,12,1
249,12,29.0,10,2
250,9,22.0,6,2
251,21,27.0,2,1
252,19,35.0,26,0
253,17,28.0,12,1
254,12,30.0,17,2
255,22,24.0,8,1
256,9,70.0,4,3
257,18,51.0,7,3
258,18,35.0,15,1
259,23,31.0,5,1
260,15,48.0,3,3
261,8,39.0,41,0
262,7,53.0,9,3
263,20,29.0,13,1
264,15,22.0,18,1
265,17,24.0,14,1
266,17,28.0,5,1
267,7,43.0,3,2
268,7,36.0,15,2
269,18,51.0,20,3
270,17,35.0,11,1
271,22,47.0,3,1
272,8,41.0,8,2
273,18,37.0,30,0
274,17,40.0,6,1
