stationid,neighborhood,borough,zipcode,station_name,latitude,longitude,count
497,Manhattan Community Board 5,Manhattan,10010,E 17 St & Broadway,40.73704984,-73.99009296,571
459,Manhattan Community Board 4,Manhattan,10011,W 20 St & 11 Ave,40.746745,-74.007756,525
426,Manhattan Community Board 1,Manhattan,10282,West St & Chambers St,40.71754834,-74.01322069,470
521,Manhattan Community Board 4,Manhattan,10122,8 Ave & W 31 St,40.75044999,-73.99481051,439
293,Manhattan Community Board 2,Manhattan,10003,Lafayette St & E 8 St,40.73028666,-73.9907647,430
435,Manhattan Community Board 4,Manhattan,10011,W 21 St & 6 Ave,40.74173969,-73.99415556,408
382,Manhattan Community Board 2,Manhattan,10003,University Pl & E 14 St,40.73492695,-73.99200509,390
380,Manhattan Community Board 2,Manhattan,10014,W 4 St & 7 Ave S,40.73401143,-74.00293877,384
499,Manhattan Community Board 7,Manhattan,10463,Broadway & W 60 St,40.76915505,-73.98191841,381
284,Manhattan Community Board 2,Manhattan,10014,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,371
285,Manhattan Community Board 2,Manhattan,10003,Broadway & E 14 St,40.73454567,-73.99074142,354
444,Manhattan Community Board 5,Manhattan,10019,Broadway & W 24 St,40.7423543,-73.98915076,353
368,University Village,Manhattan,10014,Carmine St & 6 Ave,40.73038599,-74.00214988,349
519,Manhattan Community Board 5,Manhattan,10037,Pershing Square N,40.75188406,-73.97770164,348
151,Manhattan Community Board 2,Manhattan,10012,Cleveland Pl & Spring St,40.7218158,-73.99720307,323
462,Manhattan Community Board 4,Manhattan,10011,W 22 St & 10 Ave,40.74691959,-74.00451887,316
168,Manhattan Community Board 5,Manhattan,10011,W 18 St & 6 Ave,40.73971301,-73.99456405,313
402,Manhattan Community Board 5,Manhattan,10010,Broadway & E 22 St,40.7403432,-73.98955109,308
327,Manhattan Community Board 1,Manhattan,10285,Vesey Pl & River Terrace,40.7153379,-74.01658354,297
358,Manhattan Community Board 2,Manhattan,10014,Christopher St & Greenwich St,40.73291553,-74.00711384,295
127,University Village,Manhattan,10014,Barrow St & Hudson St,40.73172428,-74.00674436,295
116,Manhattan Community Board 4,Manhattan,10011,W 17 St & 8 Ave,40.74177603,-74.00149746,290
388,Manhattan Community Board 4,Manhattan,10001,W 26 St & 10 Ave,40.749717753,-74.002950346,288
404,Manhattan Community Board 2,Manhattan,10014,9 Ave & W 14 St,40.7405826,-74.00550867,288
347,Manhattan Community Board 2,Manhattan,10014,W Houston St & Hudson St,40.72873888,-74.00748842,284
446,Manhattan Community Board 4,Manhattan,10011,W 24 St & 7 Ave,40.74487634,-73.99529885,278
518,Manhattan Community Board 6,Manhattan,10016,E 39 St & 2 Ave,40.74780373,-73.9734419,277
387,Manhattan Community Board 1,Manhattan,10000,Centre St & Chambers St,40.71273266,-74.0046073,277
147,Manhattan Community Board 1,Manhattan,10014,Greenwich St & Warren St,40.71542197,-74.01121978,275
323,,Brooklyn,11201,Lawrence St & Willoughby St,40.69236178,-73.98631746,275
