,weekday,start_hour,trip_id
42,Mon,18,849
41,Mon,17,821
17,Fri,17,799
162,Wed,18,779
137,Tue,17,761
138,Tue,18,755
114,Thu,18,746
161,Wed,17,742
113,Thu,17,734
87,Sun,15,672
88,Sun,16,671
152,Wed,8,652
18,Fri,18,645
89,Sun,17,644
128,Tue,8,641
104,Thu,8,636
86,Sun,14,630
85,Sun,13,620
84,Sun,12,604
63,Sat,15,599
43,Mon,19,595
64,Sat,16,593
90,Sun,18,590
16,Fri,16,585
40,Mon,16,573
8,Fri,8,569
62,Sat,14,569
65,Sat,17,566
139,Tue,19,529
163,Wed,19,523
61,Sat,13,516
66,Sat,18,505
32,Mon,8,504
112,Thu,16,495
9,Fri,9,493
60,Sat,12,491
153,Wed,9,478
160,Wed,16,461
19,Fri,19,459
33,Mon,9,454
105,Thu,9,448
83,Sun,11,438
129,Tue,9,433
91,Sun,19,418
59,Sat,11,415
37,Mon,13,415
136,Tue,16,412
15,Fri,15,410
13,Fri,13,404
14,Fri,14,395
7,Fri,7,395
44,Mon,20,392
115,Thu,19,392
36,Mon,12,392
127,Tue,7,386
67,Sat,19,386
12,Fri,12,381
39,Mon,15,380
82,Sun,10,379
31,Mon,7,376
151,Wed,7,376
103,Thu,7,373
159,Wed,15,370
134,Tue,14,369
38,Mon,14,365
156,Wed,12,363
140,Tue,20,360
135,Tue,15,356
109,Thu,13,349
58,Sat,10,348
111,Thu,15,342
110,Thu,14,341
132,Tue,12,340
157,Wed,13,339
35,Mon,11,337
92,Sun,20,336
133,Tue,13,335
158,Wed,14,333
164,Wed,20,333
34,Mon,10,329
108,Thu,12,328
154,Wed,10,302
11,Fri,11,296
10,Fri,10,296
20,Fri,20,294
155,Wed,11,284
45,Mon,21,277
106,Thu,10,266
81,Sun,9,262
116,Thu,20,258
107,Thu,11,254
141,Tue,21,251
131,Tue,11,248
130,Tue,10,246
57,Sat,9,243
68,Sat,20,234
165,Wed,21,228
166,Wed,22,211
22,Fri,22,205
93,Sun,21,205
117,Thu,21,204
21,Fri,21,201
126,Tue,6,194
142,Tue,22,194
46,Mon,22,185
118,Thu,22,184
94,Sun,22,174
150,Wed,6,173
102,Thu,6,173
70,Sat,22,170
69,Sat,21,170
30,Mon,6,167
23,Fri,23,165
56,Sat,8,149
6,Fri,6,144
119,Thu,23,137
71,Sat,23,136
80,Sun,8,132
143,Tue,23,127
167,Wed,23,125
95,Sun,23,125
47,Mon,23,117
48,Sat,0,116
72,Sun,0,116
73,Sun,1,93
96,Thu,0,81
55,Sat,7,79
49,Sat,1,64
24,Mon,0,62
144,Wed,0,56
0,Fri,0,56
50,Sat,2,53
74,Sun,2,53
79,Sun,7,52
25,Mon,1,43
29,Mon,5,43
97,Thu,1,39
51,Sat,3,38
1,Fri,1,38
125,Tue,5,38
149,Wed,5,35
120,Tue,0,35
78,Sun,6,32
101,Thu,5,30
75,Sun,3,29
121,Tue,1,29
54,Sat,6,28
5,Fri,5,28
2,Fri,2,27
76,Sun,4,24
145,Wed,1,24
52,Sat,4,21
146,Wed,2,21
53,Sat,5,18
26,Mon,2,18
99,Thu,3,17
77,Sun,5,16
98,Thu,2,13
3,Fri,3,13
148,Wed,4,10
4,Fri,4,10
122,Tue,2,9
27,Mon,3,9
28,Mon,4,9
100,Thu,4,9
123,Tue,3,8
147,Wed,3,6
124,Tue,4,6
