stationid,neighborhood,borough,zipcode,station_name,latitude,longitude,count
459,Manhattan Community Board 4,Manhattan,10011,W 20 St & 11 Ave,40.746745,-74.007756,536
293,Manhattan Community Board 2,Manhattan,10003,Lafayette St & E 8 St,40.73028666,-73.9907647,505
519,Manhattan Community Board 5,Manhattan,10037,Pershing Square N,40.75188406,-73.97770164,503
497,Manhattan Community Board 5,Manhattan,10010,E 17 St & Broadway,40.73704984,-73.99009296,496
426,Manhattan Community Board 1,Manhattan,10282,West St & Chambers St,40.71754834,-74.01322069,465
521,Manhattan Community Board 4,Manhattan,10122,8 Ave & W 31 St,40.75044999,-73.99481051,410
382,Manhattan Community Board 2,Manhattan,10003,University Pl & E 14 St,40.73492695,-73.99200509,405
285,Manhattan Community Board 2,Manhattan,10003,Broadway & E 14 St,40.73454567,-73.99074142,402
380,Manhattan Community Board 2,Manhattan,10014,W 4 St & 7 Ave S,40.73401143,-74.00293877,386
477,Manhattan Community Board 5,Manhattan,10036,W 41 St & 8 Ave,40.75640548,-73.9900262,365
